BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
4887,1,0.0328767123287671,CH,75,6_30,0.95,1,78,75,NA,NA,NA,NA,1790,1731
4887,1,1.43287671232877,A,75,7_39,0.84,1,78,85,NA,NA,NA,NA,1790,1731
4887,1,3.94794520547945,A,75,7_20,0.6,1,51.2,104,NA,NA,NA,NA,1790,1731
5009,0,5.6958904109589,A,75,8_27,0.79,1,136,116,1778,1485,3.92328767123288,8.2,1778,1607
5009,0,3.7972602739726,A,75,8_30,0.89,1,136,104,1778,1485,3.92328767123288,8.2,1778,1607
5009,0,0.736986301369863,SA,75,8_26,1.47,1,33.1,82,1778,1485,3.92328767123288,8.2,1778,1607
5009,0,4.6986301369863,A,75,8_37,1.07,1,-2,105,1778,1485,3.92328767123288,8.2,1778,1607
5009,0,0.657534246575342,SA,75,8_14,0.99,1,33.1,82,1778,1485,3.92328767123288,8.2,1778,1607
4956,0,3.23835616438356,A,75,8_10,0.4,1,81,92,1685,1608,3.75068493150685,5.47397260273973,1685,1608
4956,0,2.75616438356164,A,75,3_82,0.86,2,81,90,1685,1608,3.75068493150685,5.47397260273973,1685,1608
4956,0,0.657534246575342,SA,75,8_34,0.46,1,81,77,1685,1608,3.75068493150685,5.47397260273973,1685,1608
4872,1,1.24657534246575,A,75,3_11,0.54,2,64,82,3698,1489,1.34520547945205,6.7041095890411,3698,1489
4872,1,2.2986301369863,A,75,3_71,1.2,2,64,87,3698,1489,1.34520547945205,6.7041095890411,3698,1489
4872,1,1.33972602739726,A,75,3_71,0.9,2,64,82,3698,1489,1.34520547945205,6.7041095890411,3698,1489
4872,1,1.13698630136986,SA,75,7_38,1.77,1,64,82,3698,1489,1.34520547945205,6.7041095890411,3698,1489
4962,1,0.246575342465753,J,75,8_19,2,1,83,77,1760,1829,4.9972602739726,3.12054794520548,1760,1829
4901,0,0.164383561643836,FL,75,8_20,0.48,1,87,75,1024,1616,10.9561643835616,5.56164383561644,1024,1616
4863,0,0.246575342465753,J,75,8_16,1.11,1,92,75,1429,1886,7.21643835616438,3.6958904109589,1429,1886
4863,0,3.23561643835616,A,75,3_65,1.35,2,10,92,1429,1886,7.21643835616438,3.6958904109589,1429,1886
4863,0,2.81643835616438,A,75,3_65,0.8,2,10,90,1429,1886,7.21643835616438,3.6958904109589,1429,1886
5000,1,6.73424657534247,A,75,8_27,0.7,1,102,122,3002,1581,2.83835616438356,6.49315068493151,3002,1581
5000,1,2.31780821917808,A,75,8_12,1.23,1,102,90,3002,1581,2.83835616438356,6.49315068493151,3002,1581
5000,1,6.30684931506849,A,75,8_39,0.83,1,102,118,3002,1581,2.83835616438356,6.49315068493151,3002,1581
5000,1,0.657534246575342,SA,75,7_29,1.17,1,92.1,82,3002,1581,2.83835616438356,6.49315068493151,3002,1581
5000,1,2.69315068493151,A,75,7_38,0.77,1,102,92,3002,1581,2.83835616438356,6.49315068493151,3002,1581
4893,0,0.00273972602739726,CH,75,8_7,2.18,1,93,75,845,1276,12.1342465753425,9.51780821917808,845,1276
4907,0,0.0301369863013699,CH,75,6_34,0.74,1,96,75,3507,1587,2.01369863013699,6.99452054794521,3507,1587
5174,0,0.657534246575342,SA,77,8_14,1.24,1,92,85,NA,NA,NA,NA,3650,4959
5116,1,3.19452054794521,A,77,7_42,0.78,1,103.1,103,563,1587,12.3643835616438,7.30684931506849,563,1890
5116,1,0.657534246575342,SA,77,3_11,0.74,2,93,82,563,1587,12.3643835616438,7.30684931506849,563,1890
5116,1,0.679452054794521,SA,77,7_38,0.98,1,93,82,563,1587,12.3643835616438,7.30684931506849,563,1890
5116,1,4.72876712328767,A,77,7_28,0.95,1,103.1,105,563,1587,12.3643835616438,7.30684931506849,563,1890
5116,1,4.9972602739726,A,77,7_30,0.85,1,103.1,110,563,1587,12.3643835616438,7.30684931506849,563,1890
5099,1,1.13150684931507,SA,77,3_83,0.45,2,11,85,1753,1775,4.82465753424658,4.39452054794521,1753,3612
5099,1,0.726027397260274,SA,77,6_14,0.49,1,11,82,1753,1775,4.82465753424658,4.39452054794521,1753,3612
5162,0,6.53698630136986,A,77,8_33,1.66,1,117,122,NA,4918,NA,0.317808219178082,0,1579
5162,0,1,A,77,3_73,0.62,2,117,85,NA,4918,NA,0.317808219178082,0,1579
